时间,温度(℃),盐度,DO(mg/L),pH,石油烃(μg/L),大肠菌群(个/L),粪大肠菌群(个/L),无机氮(μg/L),叶绿素a(mg/m3),磷酸盐(μg/L),悬浮物(mg/L),N/P
19冬,9.770588235,32.45117647,8.994705882,8.15,7.537647059,75,80,87.64117647,,5.287058824,11.77882353,17.73943599
20春,16.84,31.356,8.942,8,0.908,,,80.552,1.226,9.698,9.535,7.556955854
20夏,24.67142857,30.92428571,5.625238095,8.078571429,11.87619048,,,115.5171429,,3.417142857,,84.10520338
20秋,20.66842105,31.42526316,7.493157895,8.036842105,43.96578947,,,114.9411111,0.363888889,7.188888889,,17.91793239
20冬,9.172222222,31.11555556,8.795,8.358333333,26.74666667,20,,49.86333333,,6.098888889,8.927222222,8.997794492
21春,13.66470588,31.48764706,7.886470588,8.37,199.2070588,,,111.4258824,22.68588235,8.902352941,12.34176471,15.81619196
21夏,26.45,30.930625,7.020625,8.176875,14.679375,140,60,37.92,,20.64375,3.25875,2.158908894
21秋,19.4,29.84533333,7.348666667,8.072857143,18.986,51.66666667,20,69.18,2.045333333,22.09466667,12.95266667,3.338620527
22春,12.00666667,30.77466667,8.383333333,8.1,22.858,,,275.8686667,1.7,15.052,13.416,19.13313444
22夏,25.986,30.31266667,6.190666667,8.13,9.633333333,,,216.748,,15.06266667,,24.54457115
22秋,18.84666667,29.89333333,6.438666667,8.165333333,7.659066667,20,,155.468,2.28,9.165333333,6.897333333,18.78513602
22冬,11.62,30.29466667,7.518666667,8.167333333,5.928666667,20,50,80.79333333,,6.918,9.903333333,12.52589241
