时间,营养指数EI,浮游动物生物量（mg/m3）,浮游动物种类数,浮游动物丰富度,浮游动物均匀度,浮游动物多样性,浮游植物种类数,浮游植物丰富度,浮游植物均匀度,浮游植物多样性指数,N/P
19冬,0.121071429,/,/,/,/,/,/,/,/,/,17.20110277
20春,0.130714286,162.4535714,11.46428571,2.272142857,0.794444444,1.763571429,18.75,3.853928571,0.538928571,1.578928571,10.85301036
20夏,0.091785714,/,/,/,/,/,/,/,/,/,51.46121285
20秋,0.160714286,216.3928571,9.035714286,1.745,0.697142857,1.403571429,11.14285714,2.201785714,0.799285714,1.900714286,17.85887733
20冬,0.035357143,/,/,/,/,/,/,/,/,/,12.28720864
21春,0.162142857,83.08892857,9.821428571,1.915357143,0.834642857,1.865,16.10714286,3.280357143,0.585357143,1.625,14.8018385
21夏,0.153214286,/,/,/,/,/,/,/,/,/,2.394516489
21秋,0.264642857,19.43464286,5.892857143,1.310714286,0.707857143,1.688214286,24.89285714,3.922142857,0.500714286,2.321785714,3.235184026
22春,0.644642857,4586.0508,10.17857143,1.105,0.107857143,0.3375,22.28571429,3.441785714,0.561071429,2.5075,25.61341529
22夏,0.52821429,/,/,/,/,/,/,/,/,/,25.6762761
22秋,0.264642857,60.20821429,12.89285714,2.564642857,2.556428571,0.714285714,27.71428571,2.926785714,3.720357143,0.615714286,16.1554291
22冬,0.074285714,/,/,/,/,/,/,/,/,/,13.7882843
